770,MODIKA INTERNATIONAL (IMPORTER: FRANKLIN EV),0,0,0,0,0,0,0,6,1,8,3,1,19
771,MOHAN GENERAL TRADING COMPANY,1,0,5,0,6,6,0,8,4,4,4,5,43
772,MOHINDRA ENGINEERING WORKS,0,0,0,0,0,8,0,0,0,0,0,0,8
773,MONDAL TRADING,0,1,1,0,8,1,1,2,17,22,16,8,77
774,MOON AGRICULTURE & FABRICATION WORKS,0,1,0,0,1,2,2,0,0,2,0,2,10
775,MOTOROYALE KINETIC PRIVATE LIMITED,0,0,0,0,0,0,0,0,1,0,0,0,1
776,MOVE STONE SERVICES PVT LTD,85,123,153,162,247,191,283,345,416,404,318,238,"2,965"
777,M S AGRO INDUSTRIES,5,6,10,1,0,25,0,0,0,0,0,0,47
778,"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",3,5,4,3,2,9,9,6,1,3,2,5,52
779,M/S ASHOKA INDUSTRIES,4,2,1,2,4,0,1,2,2,1,1,4,24
780,M/S BHARAT TRAILERS,18,11,8,14,15,12,28,7,23,13,38,32,219
781,"M/S CHUDHURY ENGG. WORKS,BAMRA,SAMBALPUR",0,0,0,1,0,0,0,0,0,0,0,0,1
782,M/S DAS ENGINEERING WORKSHOP,0,0,0,1,1,0,0,0,0,1,0,0,3
783,"M/S FARMAX EQUIPMENTS, SAMBALPUR",1,0,0,0,0,0,0,0,0,0,0,0,1
784,M/S HARITKRANTI AGRO UDYOG,0,0,0,0,6,0,2,0,2,4,0,6,20
785,M/S HOTA AGRO (TRAILER),0,2,0,1,4,0,1,0,0,0,0,0,8
786,M/S JAVED STEEL INDUSTRIES,0,0,0,3,0,0,0,0,1,1,0,1,6
787,M/S KASTKAR AGRO INDUSTRIES,5,11,11,16,5,7,3,2,2,11,16,16,105
788,M/S KISHAN TRACTOR,1,0,0,0,0,0,0,0,0,0,0,0,1
789,M/S K K AGRO INDUSTRIES,2,1,2,1,0,1,1,3,5,2,6,0,24
790,M/S LAKSHMI ENGINEERING WORKS,0,1,0,0,0,1,0,0,0,0,0,0,2
791,M/S LOHIYA AGRO INDUSTRIES,1,3,0,1,1,0,4,1,1,0,0,1,13
792,M/S MAA MANGALA INDUSTRIES,2,9,7,10,11,1,4,5,4,10,6,6,75
793,M/S MAA MOTORS WORKS,0,0,0,2,1,4,0,2,1,0,1,1,12
794,M/S MAA MOTORS WORKSHOP,0,0,2,4,0,2,1,0,0,2,3,5,19
795,M/S NANDI ENGINEERING WORKS,0,0,0,0,0,0,0,3,0,0,0,4,7
796,M/S NATIONAL STEEL AND WIRE PRODUCTS SAMBALPUR,0,0,0,1,0,0,0,0,0,0,0,0,1
797,M/S NELATARA FABRICATION,0,0,0,0,0,0,0,0,0,1,0,0,1
798,M/S NEW SHETKARI ENGINEERING WORK,5,12,2,6,3,2,1,7,2,1,3,4,48
799,M/S NEW SHIV SHAKTI TRAILORS,0,0,0,0,0,0,0,0,1,0,0,0,1
800,"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",1,3,1,0,0,0,0,0,0,0,1,1,7
801,M/S POWER TECH TECHNOLOGY,2,0,0,0,2,1,0,0,1,0,0,1,7
802,M/S PRADHAN AGRO ENGINEERING,0,0,0,0,1,0,0,1,0,0,0,0,2
803,M/S RAM AGRO MACHINARY,7,5,4,3,4,3,5,0,0,4,2,4,41
804,M/S R.K. ENGINEERING WORKS,0,2,0,2,2,0,0,0,1,0,0,0,7
805,M/S SAI AUTO ENGINEERING WORKS,1,2,1,1,1,0,0,0,0,0,0,2,8
806,M/S. SANJUKTA AGRO MART,0,0,0,0,0,0,1,0,0,0,0,0,1
807,M/S SARANGI MOTROS,18,10,18,14,11,13,9,8,5,8,10,12,136
808,M/S SARMA ENGINEERING WORKS,0,0,0,2,0,2,1,0,1,0,0,0,6
809,M/S SCHWING STETTER (INDIA) PRIVATE LIMITED,77,80,68,78,75,68,67,78,67,67,80,78,883
810,M/S-SHRADHA INDUSTRIES,1,1,0,1,5,1,6,1,5,3,1,4,29
811,M/S SHREE SHYAM AGRO PRODUCTS,0,2,1,0,0,1,1,0,0,0,2,1,8
812,M/S SHRI DATTA WELDING WORKS,0,0,0,0,0,0,0,6,0,0,0,0,6
813,M/S SHRIRAM AUTO TECH PVT LTD,183,301,310,282,273,318,359,395,349,263,306,297,"3,636"
814,"M/S.SOURAV ENTERPRISES,BHAWANIPATNA",0,1,0,0,0,0,0,0,0,0,0,0,1
815,M/S S.S. AGRO INDUSTRIES,0,0,1,0,0,0,0,0,7,0,0,0,8
816,"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",6,3,4,17,2,4,2,7,1,2,6,2,56
817,M/S SUPERIOR MANUFACTURING COMPANY,1,3,2,5,3,2,3,3,0,0,1,0,23
818,"M/S. VENKAT ENGINEERING WORKS, JAIPATNA",0,1,1,0,0,0,2,2,0,0,0,2,8
819,M/S VISHNU CLEAN ENERGY VEHICLES LLP,3,0,0,1,0,0,0,0,0,0,4,0,8
820,M/S YOGIRAJ ENGINEERING COMPANY,1,0,0,0,0,0,0,0,0,0,0,0,1
821,MUNDE MECHANICAL WORKS,4,4,7,3,5,11,0,1,14,12,2,8,71
822,MYTRAH MOBILITY PVT LTD,9,0,12,10,21,10,11,54,14,11,13,7,172
823,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,318,305,296,272,442,425,476,521,474,514,426,456,"4,925"
824,NABHKIRAN AGRO INDUSTRIES,0,0,0,1,0,4,0,0,0,0,0,0,5
825,NABINA WELDING,0,1,0,0,0,0,0,0,0,0,0,1,2
826,"NAIK TROLLEY AND IMPL,SNG",37,16,19,29,86,199,166,156,122,75,47,98,"1,050"
827,"NAIK TROLLEY&IMPLS,BHEDABAHAL",1,0,0,0,0,1,0,1,1,0,0,2,6
828,NAMAH INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,0,0,5,5
829,NAND ELECTRIC MOTOR VEHICLE PVT LTD,0,0,0,1,2,0,0,0,0,0,0,0,3
830,NARAINDASS AND SONS,0,0,0,0,0,0,0,1,0,0,0,3,4
831,NARINDERA AGRO WORKS,4,1,3,2,1,11,0,0,0,0,0,0,22
832,NARMADA INDUSTRIES,0,0,0,1,0,1,0,0,0,0,0,0,2
833,NATIONAL ENGG WORKS,0,0,0,0,0,0,0,0,0,0,0,2,2
834,NAVDURGA TRAILERS,0,0,0,0,0,0,0,0,0,0,5,0,5
835,NAZAR SINGH & SONS,4,2,1,0,3,14,0,0,1,7,2,6,40
